Application_ID,Employee_ID,Department,Role,Source,Application_Date,Interview_Date,Offer_Date,Joining_Date,Interview_Score,Assessment_Score,Offer_Accepted,Joined,Recruitment_Cost_INR,Recruiter
A000001,E00001,Human Resources,HR Business Partner,Agency,2023-11-01,2023-11-07,2023-11-16,2023-12-06,63,64,Yes,Yes,17131,Recruiter A
A000002,E00002,Sales,Account Manager,Agency,2018-11-25,2018-12-01,2018-12-09,2019-02-19,68,80,Yes,Yes,3902,Recruiter B
A000003,,Supply Chain,Supply Chain Analyst,LinkedIn,2023-02-18,2023-03-03,2023-03-06,,83,90,Yes,No,10803,Recruiter C
A000004,,Supply Chain,Supply Chain Analyst,Campus,2023-01-09,2023-01-14,2023-01-23,,62,66,No,No,11643,Recruiter B
A000005,E00003,Supply Chain,Supply Chain Analyst,Agency,2023-02-18,2023-03-05,2023-03-08,2023-03-27,69,54,Yes,Yes,5092,Recruiter D
A000006,,Human Resources,HR Executive,LinkedIn,2023-02-24,2023-03-11,2023-03-15,,86,91,Yes,No,13873,Recruiter C
A000007,E00004,Human Resources,HR Executive,Referral,2023-01-02,2023-01-09,2023-01-16,2023-04-07,64,74,Yes,Yes,12584,Recruiter A
A000008,,Marketing,Product Marketing Manager,Internal Mobility,2021-11-21,2021-11-29,2021-12-06,,67,78,No,No,4497,Recruiter C
A000009,E00005,Marketing,Product Marketing Manager,LinkedIn,2021-11-23,2021-11-29,2021-12-03,2022-01-09,80,86,Yes,Yes,17205,Recruiter D
A000010,,Marketing,Product Marketing Manager,Internal Mobility,2021-10-27,2021-11-05,2021-11-13,,93,64,No,No,16101,Recruiter A
A000011,E00006,Technology,Data Scientist,Agency,2020-12-30,2021-01-02,2021-01-16,2021-01-29,92,51,Yes,Yes,3256,Recruiter B
A000012,,Technology,Data Scientist,Company Website,2020-11-15,2020-11-20,2020-11-24,,73,85,No,No,11569,Recruiter C
A000013,,Technology,Data Scientist,LinkedIn,2020-12-19,2020-12-23,2021-01-06,,95,50,No,No,8840,Recruiter A
