Month,Employee_ID,Department,Location,Scheduled_Days,Present_Days,Paid_Leave_Days,Sick_Leave_Days,Unpaid_Leave_Days,Absent_Days,WFH_Days,Overtime_Hours,Late_Arrivals
2024-09-01,E00001,Human Resources,Bengaluru,22,19,2,0,1,1,6,7.6,3
2024-10-01,E00001,Human Resources,Bengaluru,23,23,0,0,0,0,4,0.4,3
2024-11-01,E00001,Human Resources,Bengaluru,20,19,1,0,0,0,3,3.5,0
2024-12-01,E00001,Human Resources,Bengaluru,23,23,0,0,0,0,10,0.0,3
2025-01-01,E00001,Human Resources,Bengaluru,20,17,1,0,2,2,2,1.4,3
2025-02-01,E00001,Human Resources,Bengaluru,22,22,0,0,0,0,4,6.8,0
2025-03-01,E00001,Human Resources,Bengaluru,22,22,0,0,0,0,7,5.9,0
2025-04-01,E00001,Human Resources,Bengaluru,21,20,1,0,0,0,10,1.5,0
2025-05-01,E00001,Human Resources,Bengaluru,20,17,3,0,0,0,10,4.6,0
2025-06-01,E00001,Human Resources,Bengaluru,23,23,0,0,0,0,5,4.3,1
2025-07-01,E00001,Human Resources,Bengaluru,22,21,1,0,0,0,1,3.1,2
2025-08-01,E00001,Human Resources,Bengaluru,21,18,3,0,0,0,9,3.0,2
2025-09-01,E00001,Human Resources,Bengaluru,23,21,2,0,0,0,7,2.4,3
2025-10-01,E00001,Human Resources,Bengaluru,20,20,0,0,0,0,11,5.5,1
2025-11-01,E00001,Human Resources,Bengaluru,21,20,1,0,0,0,3,0.0,0
2025-12-01,E00001,Human Resources,Bengaluru,23,21,2,0,0,0,8,9.4,2
2026-01-01,E00001,Human Resources,Bengaluru,23,21,2,0,0,0,4,1.8,3
2026-02-01,E00001,Human Resources,Bengaluru,22,21,1,0,0,0,5,9.6,0
2026-03-01,E00001,Human Resources,Bengaluru,22,22,0,0,0,0,8,6.5,0
2026-04-01,E00001,Human Resources,Bengaluru,20,17,2,1,0,1,2,0.5,1
2026-05-01,E00001,Human Resources,Bengaluru,20,16,4,0,0,0,5,0.0,1
2026-06-01,E00001,Human Resources,Bengaluru,21,17,3,0,1,1,1,10.5,0
2026-07-01,E00001,Human Resources,Bengaluru,20,20,0,0,0,0,12,6.8,1
2026-08-01,E00001,Human Resources,Bengaluru,21,21,0,0,0,0,8,10.8,1
2024-09-01,E00002,Sales,Chennai,20,19,1,0,0,0,9,9.5,1
2024-10-01,E00002,Sales,Chennai,23,22,1,0,0,0,12,2.4,1
2024-11-01,E00002,Sales,Chennai,22,18,4,0,0,0,8,10.8,0
2024-12-01,E00002,Sales,Chennai,22,20,2,0,0,0,0,0.0,3
2025-01-01,E00002,Sales,Chennai,23,22,1,0,0,0,11,13.8,0
2025-02-01,E00002,Sales,Chennai,22,19,3,0,0,0,0,10.6,2
2025-03-01,E00002,Sales,Chennai,20,20,0,0,0,0,7,5.1,1
2025-04-01,E00002,Sales,Chennai,22,22,0,0,0,0,11,9.2,3
2025-05-01,E00002,Sales,Chennai,23,23,0,0,0,0,12,4.9,3
2025-06-01,E00002,Sales,Chennai,22,19,3,0,0,0,3,19.4,3
2025-07-01,E00002,Sales,Chennai,23,18,2,3,0,3,9,11.4,0
2025-08-01,E00002,Sales,Chennai,20,18,2,0,0,0,2,5.7,2
2025-09-01,E00002,Sales,Chennai,21,20,0,0,1,1,4,14.1,3
2025-10-01,E00002,Sales,Chennai,22,18,1,2,1,3,11,5.9,0
2025-11-01,E00002,Sales,Chennai,23,17,3,1,2,3,3,2.5,0
2025-12-01,E00002,Sales,Chennai,20,19,0,1,0,1,6,15.5,2
2026-01-01,E00002,Sales,Chennai,21,20,1,0,0,0,3,0.0,2
2026-02-01,E00002,Sales,Chennai,23,21,1,1,0,1,6,7.4,1
2026-03-01,E00002,Sales,Chennai,22,21,1,0,0,0,2,15.6,1
