Employee_ID,Effective_Date,Grade,Base_Salary_INR,Variable_Pay_INR,Total_Compensation_INR,Compa_Ratio,Change_Reason
E00001,2023-12-06,G4,1293200.0,227000.0,1520300.0,1.18,Joining
E00001,2024-04-01,G4,1411600.0,269800.0,1681500.0,1.28,Annual Review
E00001,2025-04-01,G4,1542100.0,128500.0,1670600.0,1.4,Annual Review
E00001,2026-04-01,G4,1609100.0,130400.0,1739600.0,1.46,Annual Review
E00002,2022-04-01,G1,347400.0,36800.0,384200.0,0.96,Joining
E00002,2023-04-01,G1,374100.0,39800.0,413800.0,1.04,Annual Review
E00002,2024-04-01,G1,413800.0,81400.0,495300.0,1.15,Promotion
E00002,2025-04-01,G1,430500.0,72400.0,502900.0,1.2,Market Correction
E00002,2026-04-01,G1,460400.0,45300.0,505700.0,1.28,Promotion
E00003,2023-04-01,G5,1413600.0,230100.0,1643700.0,0.86,Promotion
E00003,2024-04-01,G5,1545600.0,96000.0,1641700.0,0.94,Promotion
E00003,2025-04-01,G5,1743200.0,262500.0,2005800.0,1.06,Market Correction
E00003,2026-04-01,G5,1822900.0,198500.0,2021400.0,1.1,Joining
E00004,2023-04-07,G2,457800.0,80600.0,538400.0,0.88,Annual Review
E00004,2024-04-01,G2,490100.0,76200.0,566300.0,0.94,Annual Review
E00004,2025-04-01,G2,551200.0,60600.0,611800.0,1.06,Promotion
E00004,2026-04-01,G2,625000.0,62000.0,687000.0,1.2,Promotion
E00005,2022-04-01,G4,942400.0,175400.0,1117800.0,0.86,Promotion
E00005,2023-04-01,G4,985600.0,186600.0,1172200.0,0.9,Promotion
E00005,2024-04-01,G4,1084400.0,81900.0,1166300.0,0.99,Promotion
E00006,2022-04-01,G1,339100.0,61900.0,401000.0,0.94,Market Correction
E00006,2023-04-01,G1,368500.0,28200.0,396700.0,1.02,Annual Review
E00006,2024-04-01,G1,414400.0,20600.0,435000.0,1.15,Joining
E00006,2025-04-01,G1,427100.0,19700.0,446800.0,1.19,Market Correction
E00006,2026-04-01,G1,484900.0,83000.0,567800.0,1.35,Annual Review
E00007,2022-04-01,G2,560800.0,83200.0,644100.0,1.08,Joining
E00007,2023-04-01,G2,584700.0,89500.0,674200.0,1.12,Joining
E00007,2024-04-01,G2,662200.0,126200.0,788400.0,1.27,Annual Review
E00007,2025-04-01,G2,749700.0,39200.0,788900.0,1.44,Annual Review
E00007,2026-04-01,G2,844800.0,45300.0,890100.0,1.62,Annual Review
E00008,2022-04-01,G2,612800.0,44700.0,657500.0,1.18,Market Correction
E00008,2023-04-01,G2,632000.0,87100.0,719100.0,1.22,Annual Review
E00008,2024-04-01,G2,666800.0,82900.0,749700.0,1.28,Market Correction
E00008,2025-04-01,G2,718800.0,112900.0,831700.0,1.38,Annual Review
E00008,2026-04-01,G2,775800.0,148800.0,924700.0,1.49,Joining
E00009,2022-04-01,G5,1585900.0,149700.0,1735600.0,0.96,Joining
E00009,2023-04-01,G5,1795500.0,118100.0,1913600.0,1.09,Promotion
E00009,2024-04-01,G5,1970900.0,251300.0,2222200.0,1.19,Joining
E00009,2025-04-01,G5,2038600.0,156000.0,2194600.0,1.24,Promotion
E00009,2026-04-01,G5,2225200.0,380500.0,2605700.0,1.35,Joining
E00010,2023-04-01,G5,1344800.0,242300.0,1587000.0,0.82,Annual Review
E00010,2024-04-01,G5,1465700.0,91600.0,1557300.0,0.89,Market Correction
E00010,2025-04-01,G5,1564000.0,152400.0,1716400.0,0.95,Promotion
E00010,2026-04-01,G5,1628800.0,277400.0,1906200.0,0.99,Annual Review
E00011,2022-04-01,G4,920100.0,90000.0,1010100.0,0.84,Annual Review
E00011,2023-04-01,G4,1017600.0,62000.0,1079600.0,0.93,Annual Review
E00011,2024-04-01,G4,1154800.0,137500.0,1292300.0,1.05,Annual Review
E00011,2025-04-01,G4,1259400.0,222000.0,1481300.0,1.14,Market Correction
E00011,2026-04-01,G4,1433800.0,238000.0,1671700.0,1.3,Promotion
E00013,2022-04-01,G2,550200.0,57500.0,607700.0,1.06,Promotion
E00013,2023-04-01,G2,600500.0,79100.0,679700.0,1.15,Market Correction
E00013,2024-04-01,G2,637400.0,83400.0,720900.0,1.23,Joining
E00013,2025-04-01,G2,704300.0,117800.0,822200.0,1.35,Promotion
E00013,2026-04-01,G2,740600.0,106300.0,846900.0,1.42,Promotion
E00015,2022-04-02,G4,904400.0,107500.0,1011900.0,0.82,Annual Review
E00015,2023-04-01,G4,986300.0,85100.0,1071400.0,0.9,Market Correction
E00015,2024-04-01,G4,1034300.0,108000.0,1142300.0,0.94,Joining
E00015,2025-04-01,G4,1118500.0,216300.0,1334800.0,1.02,Promotion
E00015,2026-04-01,G4,1161900.0,56000.0,1217800.0,1.06,Annual Review
E00016,2022-04-01,G3,830000.0,61600.0,891600.0,1.09,Annual Review
E00016,2023-04-01,G3,942200.0,56400.0,998600.0,1.24,Annual Review
E00016,2024-04-01,G3,1012800.0,176700.0,1189500.0,1.33,Annual Review
E00016,2025-04-01,G3,1144000.0,95800.0,1239800.0,1.51,Promotion
E00016,2026-04-01,G3,1202000.0,120900.0,1322900.0,1.58,Joining
E00017,2024-09-01,G4,1036300.0,185500.0,1221800.0,0.94,Market Correction
E00017,2025-04-01,G4,1150800.0,122900.0,1273700.0,1.05,Annual Review
E00017,2026-04-01,G4,1212800.0,109300.0,1322100.0,1.1,Market Correction
E00018,2025-08-04,G1,327500.0,64400.0,391900.0,0.91,Annual Review
E00018,2026-04-01,G1,350100.0,67400.0,417500.0,0.97,Promotion
E00019,2022-04-01,G2,533200.0,102000.0,635200.0,1.03,Promotion
E00019,2023-04-01,G2,583400.0,111200.0,694600.0,1.12,Joining
E00020,2024-07-17,G3,680500.0,61200.0,741700.0,0.9,Joining
E00020,2025-04-01,G3,718600.0,120300.0,838900.0,0.95,Joining
E00020,2026-04-01,G3,774900.0,137000.0,911900.0,1.02,Joining
E00021,2022-04-01,G1,306800.0,29000.0,335800.0,0.85,Joining
E00021,2023-04-01,G1,331300.0,55500.0,386800.0,0.92,Joining
E00021,2024-04-01,G1,347100.0,60400.0,407500.0,0.96,Joining
E00021,2025-04-01,G1,376000.0,57900.0,433800.0,1.04,Market Correction
E00021,2026-04-01,G1,406100.0,75800.0,481900.0,1.13,Annual Review
E00022,2022-04-01,G4,1015800.0,68000.0,1083800.0,0.92,Joining
E00022,2023-04-01,G4,1103600.0,120200.0,1223900.0,1.0,Promotion
E00022,2024-04-01,G4,1163700.0,195600.0,1359300.0,1.06,Annual Review
E00022,2025-04-01,G4,1267100.0,122200.0,1389300.0,1.15,Joining
E00022,2026-04-01,G4,1432800.0,149800.0,1582500.0,1.3,Promotion
E00024,2022-04-01,G4,1022800.0,63700.0,1086500.0,0.93,Joining
E00024,2023-04-01,G4,1108200.0,47300.0,1155400.0,1.01,Market Correction
E00024,2024-04-01,G4,1251800.0,160500.0,1412300.0,1.14,Annual Review
E00024,2025-04-01,G4,1376800.0,237400.0,1614300.0,1.25,Market Correction
E00024,2026-04-01,G4,1523600.0,239300.0,1762900.0,1.39,Promotion
E00025,2022-04-01,G3,819000.0,65900.0,884900.0,1.08,Joining
E00025,2023-04-01,G3,901500.0,83200.0,984700.0,1.19,Annual Review
E00025,2024-04-01,G3,966200.0,39100.0,1005300.0,1.27,Market Correction
E00025,2025-04-01,G3,1069800.0,45900.0,1115700.0,1.41,Annual Review
E00025,2026-04-01,G3,1156600.0,210700.0,1367200.0,1.52,Market Correction
E00026,2022-04-01,G4,1121400.0,110700.0,1232100.0,1.02,Joining
E00026,2023-04-01,G4,1207400.0,196500.0,1403900.0,1.1,Promotion
E00026,2024-04-01,G4,1297200.0,129700.0,1426900.0,1.18,Market Correction
E00026,2025-04-01,G4,1425200.0,125500.0,1550700.0,1.3,Joining
E00027,2022-04-01,G4,995200.0,111200.0,1106400.0,0.9,Market Correction
E00027,2023-04-01,G4,1104300.0,150200.0,1254500.0,1.0,Market Correction
E00027,2024-04-01,G4,1231600.0,119200.0,1350800.0,1.12,Annual Review
E00027,2025-04-01,G4,1397800.0,164500.0,1562300.0,1.27,Annual Review
E00027,2026-04-01,G4,1592600.0,80300.0,1673000.0,1.45,Joining
E00028,2026-04-01,G5,1327800.0,164900.0,1492700.0,0.8,Market Correction
E00029,2022-04-01,G4,957600.0,180800.0,1138400.0,0.87,Promotion
E00029,2023-04-01,G4,1018200.0,114000.0,1132200.0,0.93,Joining
E00029,2024-04-01,G4,1076400.0,185800.0,1262200.0,0.98,Joining
E00030,2022-04-01,G5,1748600.0,185400.0,1934000.0,1.06,Annual Review
E00030,2023-04-01,G5,1803200.0,236800.0,2040000.0,1.09,Market Correction
E00030,2024-04-01,G5,1944300.0,93000.0,2037300.0,1.18,Joining
E00030,2025-04-01,G5,2006900.0,349900.0,2356900.0,1.22,Annual Review
E00030,2026-04-01,G5,2261700.0,334400.0,2596100.0,1.37,Promotion
E00031,2026-07-30,G3,671800.0,37800.0,709600.0,0.88,Promotion
E00032,2022-04-01,G2,526100.0,100000.0,626100.0,1.01,Annual Review
E00032,2023-04-01,G2,584600.0,43800.0,628500.0,1.12,Joining
E00032,2024-04-01,G2,657600.0,32600.0,690200.0,1.26,Promotion
E00032,2025-04-01,G2,723200.0,42500.0,765700.0,1.39,Annual Review
E00032,2026-04-01,G2,765800.0,64300.0,830200.0,1.47,Promotion
E00033,2024-04-01,G3,853300.0,167400.0,1020700.0,1.12,Promotion
E00033,2025-04-01,G3,922200.0,136800.0,1059000.0,1.21,Market Correction
E00033,2026-04-01,G3,970100.0,55900.0,1026100.0,1.28,Joining
E00034,2022-07-01,G2,535400.0,26800.0,562200.0,1.03,Joining
E00034,2023-04-01,G2,574200.0,81900.0,656100.0,1.1,Promotion
E00034,2024-04-01,G2,597200.0,44000.0,641200.0,1.15,Annual Review
E00034,2025-04-01,G2,622600.0,89600.0,712200.0,1.2,Promotion
E00034,2026-04-01,G2,671400.0,43300.0,714800.0,1.29,Market Correction
E00035,2022-04-01,G1,324200.0,23100.0,347300.0,0.9,Market Correction
E00035,2023-04-01,G1,346700.0,54900.0,401500.0,0.96,Annual Review
E00035,2024-04-01,G1,379300.0,57200.0,436500.0,1.05,Joining
E00035,2025-04-01,G1,412700.0,60300.0,473000.0,1.15,Joining
E00035,2026-04-01,G1,445400.0,53600.0,499000.0,1.24,Promotion
E00036,2025-04-01,G4,1038800.0,90200.0,1129000.0,0.94,Promotion
E00036,2026-04-01,G4,1078500.0,150800.0,1229300.0,0.98,Annual Review
E00037,2022-04-01,G4,1050400.0,140700.0,1191100.0,0.95,Market Correction
E00037,2023-04-01,G4,1168500.0,230100.0,1398600.0,1.06,Market Correction
E00037,2024-04-01,G4,1226100.0,55600.0,1281700.0,1.11,Annual Review
E00037,2025-04-01,G4,1290700.0,251400.0,1542100.0,1.17,Annual Review
E00037,2026-04-01,G4,1442000.0,191800.0,1633800.0,1.31,Annual Review
E00038,2024-07-17,G4,963700.0,95800.0,1059500.0,0.88,Annual Review
E00038,2025-04-01,G4,1060600.0,193100.0,1253700.0,0.96,Market Correction
E00038,2026-04-01,G4,1097700.0,58600.0,1156300.0,1.0,Promotion
E00039,2022-06-30,G5,1409200.0,71000.0,1480200.0,0.85,Annual Review
E00039,2023-04-01,G5,1577300.0,140000.0,1717300.0,0.96,Promotion
E00039,2024-04-01,G5,1664200.0,181700.0,1845800.0,1.01,Joining
E00040,2026-04-09,G2,428600.0,74500.0,503200.0,0.82,Promotion
E00041,2022-04-01,G6,2900100.0,390500.0,3290500.0,1.16,Joining
E00041,2023-04-01,G6,3237700.0,490900.0,3728600.0,1.3,Joining
E00041,2024-04-01,G6,3502100.0,545200.0,4047400.0,1.4,Promotion
E00041,2025-04-01,G6,3792400.0,464100.0,4256500.0,1.52,Market Correction
E00041,2026-04-01,G6,4119800.0,461600.0,4581400.0,1.65,Promotion
