Employee_ID,Review_Year,Performance_Rating,Goal_Achievement_Pct,Manager_Rating,Potential_Rating,Performance_Band,Succession_Readiness
E00001,2024,4.4,88.9,4.7,Medium,Meets,Ready 1-2 Years
E00001,2025,4.3,77.4,4.4,Medium,Meets,Ready Now
E00001,2026,3.9,97.7,3.6,Low,Partially Meets,Ready 1-2 Years
E00002,2022,3.5,95.4,3.5,High,Partially Meets,Ready Now
E00002,2023,3.7,95.2,3.6,High,Meets,Not Ready
E00002,2024,3.1,83.9,3.1,High,Exceeds,Ready 1-2 Years
E00002,2025,3.4,112.4,3.6,Medium,Meets,Ready 1-2 Years
E00002,2026,3.0,93.3,2.8,Medium,Outstanding,Ready Now
E00003,2023,3.0,94.8,2.9,High,Partially Meets,Not Ready
E00003,2024,3.5,93.2,3.4,Medium,Meets,Not Ready
E00003,2025,3.5,100.7,3.4,Low,Meets,Not Ready
E00003,2026,3.4,81.7,3.5,Medium,Partially Meets,Ready Now
E00004,2024,3.6,85.2,3.5,Medium,Meets,Not Ready
E00004,2025,4.0,65.4,3.9,High,Meets,Ready 1-2 Years
E00004,2026,3.7,68.5,4.1,Low,Exceeds,Not Ready
E00005,2022,4.5,107.5,4.9,Medium,Meets,Ready Now
E00005,2023,4.4,84.3,3.8,Medium,Partially Meets,Ready Now
E00005,2024,3.9,78.6,4.3,High,Exceeds,Ready Now
E00006,2022,2.5,69.7,2.8,High,Meets,Ready 1-2 Years
E00006,2023,3.0,95.3,2.8,High,Partially Meets,Ready 1-2 Years
E00006,2024,2.7,87.0,3.2,Low,Exceeds,Ready Now
E00006,2025,2.1,78.2,1.9,Medium,Exceeds,Ready Now
E00006,2026,2.8,64.5,2.7,High,Partially Meets,Not Ready
E00007,2022,4.4,73.2,4.8,High,Meets,Ready Now
E00007,2023,4.9,98.9,4.9,High,Meets,Not Ready
E00007,2024,4.5,80.7,4.1,Medium,Outstanding,Ready Now
E00007,2025,4.4,88.8,3.9,Low,Exceeds,Not Ready
E00007,2026,4.4,82.1,4.0,Low,Exceeds,Ready 1-2 Years
E00008,2022,3.6,99.2,3.5,Medium,Meets,Ready 1-2 Years
E00008,2023,3.5,89.3,3.8,Medium,Meets,Not Ready
E00008,2024,3.5,102.4,3.6,Medium,Meets,Ready Now
E00008,2025,3.1,74.3,2.7,High,Partially Meets,Not Ready
E00008,2026,3.3,75.1,2.7,High,Meets,Ready Now
E00009,2022,4.0,79.3,4.0,Medium,Meets,Not Ready
E00009,2023,3.8,89.5,3.9,Medium,Partially Meets,Ready Now
E00009,2024,3.9,82.1,4.3,Medium,Outstanding,Ready 1-2 Years
E00009,2025,3.9,93.4,4.4,Medium,Partially Meets,Ready Now
E00009,2026,4.1,85.7,4.3,Medium,Exceeds,Not Ready
E00010,2023,2.6,94.8,2.5,High,Partially Meets,Ready 1-2 Years
E00010,2024,3.2,90.6,3.3,Medium,Exceeds,Ready Now
E00010,2025,2.8,83.6,2.9,High,Partially Meets,Ready 1-2 Years
E00010,2026,2.9,62.4,3.0,Medium,Outstanding,Ready Now
E00011,2022,4.2,73.8,4.4,Medium,Outstanding,Not Ready
E00011,2023,4.4,79.9,4.6,Medium,Meets,Ready Now
E00011,2024,4.4,94.9,4.8,Low,Exceeds,Ready 1-2 Years
E00011,2025,4.1,83.8,4.5,High,Exceeds,Ready 1-2 Years
E00011,2026,4.7,88.8,5.0,High,Exceeds,Ready 1-2 Years
E00013,2022,3.2,97.3,3.3,Medium,Partially Meets,Ready 1-2 Years
E00013,2023,3.5,99.8,3.2,High,Partially Meets,Ready 1-2 Years
E00013,2024,3.4,93.0,3.3,Medium,Partially Meets,Ready 1-2 Years
E00013,2025,3.1,86.3,3.2,Medium,Meets,Ready 1-2 Years
E00013,2026,3.6,79.7,3.3,Low,Exceeds,Ready 1-2 Years
E00015,2023,3.4,91.6,3.3,High,Outstanding,Ready Now
E00015,2024,3.6,93.9,3.6,Medium,Meets,Not Ready
E00015,2025,3.0,66.4,3.5,Low,Meets,Not Ready
E00015,2026,3.2,73.2,2.8,Medium,Exceeds,Ready Now
E00016,2022,4.1,80.1,3.7,Medium,Meets,Not Ready
E00016,2023,3.7,78.9,4.2,Medium,Exceeds,Ready 1-2 Years
E00016,2024,3.8,89.2,4.1,Medium,Meets,Not Ready
E00016,2025,3.5,88.3,3.2,Medium,Exceeds,Ready Now
E00016,2026,3.9,83.1,4.3,Medium,Exceeds,Not Ready
E00017,2025,3.0,66.3,2.9,Medium,Outstanding,Ready 1-2 Years
E00017,2026,3.6,92.1,3.0,High,Exceeds,Ready 1-2 Years
E00018,2026,3.4,74.2,3.7,Medium,Exceeds,Not Ready
E00019,2022,4.5,105.5,3.8,Medium,Meets,Not Ready
E00019,2023,3.7,67.7,3.8,High,Outstanding,Ready Now
E00020,2025,3.2,84.7,3.0,Medium,Outstanding,Ready 1-2 Years
E00020,2026,3.0,79.2,2.6,High,Partially Meets,Not Ready
E00021,2022,3.8,77.8,2.8,Medium,Meets,Ready 1-2 Years
E00021,2023,3.9,78.9,4.0,Medium,Exceeds,Ready 1-2 Years
E00021,2024,4.3,98.7,4.7,High,Partially Meets,Not Ready
E00021,2025,4.1,93.5,4.2,Medium,Outstanding,Ready Now
E00021,2026,3.4,80.4,3.1,Medium,Partially Meets,Ready Now
E00022,2022,2.0,64.8,1.8,Medium,Outstanding,Not Ready
E00022,2023,1.9,67.2,1.6,Medium,Partially Meets,Ready Now
E00022,2024,2.5,60.3,3.0,Medium,Meets,Not Ready
E00022,2025,2.3,67.8,2.5,Medium,Meets,Ready Now
E00022,2026,2.4,91.1,2.4,High,Exceeds,Ready Now
E00024,2022,2.5,76.3,2.9,Low,Outstanding,Not Ready
E00024,2023,1.8,74.0,1.9,Medium,Outstanding,Ready Now
E00024,2024,2.0,66.4,2.4,Medium,Partially Meets,Ready 1-2 Years
E00024,2025,1.8,84.6,2.1,Low,Meets,Not Ready
E00024,2026,2.3,73.6,2.7,Medium,Meets,Not Ready
E00025,2022,3.1,74.7,3.4,High,Outstanding,Not Ready
E00025,2023,2.1,79.7,2.3,Low,Meets,Not Ready
E00025,2024,2.7,62.9,2.7,High,Partially Meets,Ready Now
E00025,2025,2.8,81.1,2.6,Low,Outstanding,Ready 1-2 Years
E00025,2026,2.8,76.4,2.5,Low,Meets,Ready Now
E00026,2022,3.7,85.2,3.7,High,Meets,Ready 1-2 Years
E00026,2023,3.4,92.0,3.7,Medium,Meets,Ready Now
E00026,2024,3.5,89.6,3.5,Low,Meets,Ready Now
E00026,2025,3.5,98.1,3.8,Medium,Outstanding,Ready Now
E00027,2022,2.7,73.9,2.9,Low,Partially Meets,Ready Now
E00027,2023,2.6,82.7,2.2,Medium,Partially Meets,Not Ready
E00027,2024,2.5,80.8,2.6,Medium,Exceeds,Ready Now
E00027,2025,2.5,74.2,2.3,Medium,Outstanding,Ready 1-2 Years
E00027,2026,2.3,90.3,2.0,High,Exceeds,Ready 1-2 Years
E00028,2026,4.7,91.9,4.5,Low,Meets,Ready 1-2 Years
E00029,2022,2.5,77.9,2.8,Medium,Meets,Ready Now
E00029,2023,2.7,85.1,2.4,Medium,Outstanding,Ready Now
