Training_ID,Employee_ID,Course_Name,Training_Date,Training_Hours,Delivery_Mode,Completion_Status,Pre_Assessment_Score,Post_Assessment_Score,Training_Cost_INR
T000001,E00001,Communication Skills,2024-12-25,6,Classroom,Completed,52,70,13514
T000002,E00001,Python Analytics,2025-10-08,12,Blended,Completed,48,60,4383
T000003,E00001,Negotiation,2024-03-11,2,Blended,Incomplete,66,82,9881
T000004,E00002,Communication Skills,2026-08-21,8,Blended,Incomplete,64,88,13167
T000005,E00005,Cloud Fundamentals,2024-02-28,4,Classroom,Incomplete,74,98,4983
T000006,E00005,GenAI for Business,2024-01-29,8,Classroom,Completed,75,90,7125
T000007,E00005,Communication Skills,2024-04-10,16,Online,Completed,48,75,11684
T000008,E00005,Python Analytics,2024-07-23,12,Blended,Completed,67,82,8042
T000009,E00007,Data Privacy,2026-08-27,24,Blended,Completed,58,64,10215
T000010,E00008,Leadership Essentials,2026-06-18,6,Blended,Completed,51,73,6326
T000011,E00010,Python Analytics,2026-04-08,24,Online,Completed,52,71,10393
T000012,E00010,Negotiation,2025-06-25,2,Classroom,Completed,63,81,8061
T000013,E00010,Advanced Excel,2024-03-09,6,Classroom,Completed,53,65,11338
T000014,E00010,GenAI for Business,2025-11-27,4,Online,Completed,68,87,4738
T000015,E00011,GenAI for Business,2024-12-18,16,Online,Completed,72,91,7931
T000016,E00011,Power BI,2024-09-12,8,Blended,Completed,49,60,7807
T000017,E00011,Power BI,2025-10-26,8,Online,Completed,74,86,14321
T000018,E00011,Negotiation,2025-07-14,16,Classroom,Incomplete,77,91,4102
T000019,E00011,Advanced Excel,2026-07-22,4,Classroom,Completed,67,72,6963
T000020,E00015,Leadership Essentials,2026-05-02,8,Online,Completed,44,67,12756
T000021,E00016,GenAI for Business,2025-04-06,4,Blended,Completed,68,88,4868
T000022,E00016,Leadership Essentials,2025-09-22,12,Classroom,Incomplete,70,95,9200
T000023,E00016,Project Management,2026-03-23,16,Classroom,Completed,62,70,9692
T000024,E00016,Power BI,2024-08-05,8,Classroom,Completed,65,81,12321
T000025,E00017,Leadership Essentials,2026-02-14,16,Classroom,Completed,68,83,2270
T000026,E00017,Leadership Essentials,2025-05-02,16,Online,Completed,78,88,2546
T000027,E00017,Python Analytics,2025-11-11,4,Blended,Completed,77,92,2257
T000028,E00017,Python Analytics,2025-11-14,8,Online,Completed,54,76,11167
T000029,E00017,Advanced Excel,2026-04-06,12,Classroom,Incomplete,74,95,1865
T000030,E00018,Negotiation,2025-10-31,6,Blended,Completed,61,87,11209
T000031,E00021,GenAI for Business,2026-08-24,4,Online,Completed,55,72,3812
T000032,E00021,Python Analytics,2026-06-23,8,Online,Completed,49,66,12066
T000033,E00021,Data Privacy,2026-01-09,2,Blended,Completed,50,72,2120
T000034,E00022,Data Privacy,2026-04-14,16,Blended,Completed,69,82,12968
T000035,E00022,Advanced Excel,2024-08-19,6,Online,Completed,76,87,9495
T000036,E00022,Python Analytics,2024-04-20,24,Online,Completed,73,87,13256
T000037,E00022,Negotiation,2026-08-23,6,Blended,Completed,58,74,9492
T000038,E00024,Python Analytics,2025-05-16,16,Blended,Completed,52,58,12997
T000039,E00024,Advanced Excel,2024-04-18,2,Classroom,Completed,72,87,5748
T000040,E00024,Python Analytics,2024-04-09,8,Blended,Completed,63,89,3030
