Employee_ID,Survey_Date,Engagement_Score,Manager_Support_Score,Career_Growth_Score,Rewards_Score,Wellbeing_Score,Belonging_Score,eNPS_0_10,Anonymous_Comment
E00001,2025-06-30,69.6,48,46,92,74,49,8,Happy with flexibility
E00001,2026-06-30,77.2,64,90,79,82,52,0,Compensation could improve
E00002,2025-06-30,61.2,61,40,54,62,85,2,Need clearer career path
E00002,2026-06-30,63.8,57,68,54,67,63,1,Need clearer career path
E00003,2025-06-30,80.7,87,41,77,83,83,3,Strong team culture
E00003,2026-06-30,51.3,62,40,63,45,65,6,Strong team culture
E00004,2025-06-30,78.1,55,63,87,70,87,4,Good manager support
E00004,2026-06-30,78.8,75,93,86,71,88,5,Strong team culture
E00006,2025-06-30,63.3,73,59,44,87,51,6,Workload is high
E00006,2026-06-30,64.6,87,72,56,60,51,9,No comment
E00007,2025-06-30,58.8,78,72,48,41,47,4,Happy with flexibility
E00007,2026-06-30,62.5,73,60,69,40,89,6,No comment
E00008,2025-06-30,67.8,66,64,52,82,53,6,Workload is high
E00008,2026-06-30,69.6,59,69,68,52,92,5,Need more learning opportunities
E00009,2025-06-30,73.9,74,46,68,59,93,6,Need more learning opportunities
E00009,2026-06-30,62.0,49,80,44,49,60,10,No comment
E00010,2025-06-30,63.5,52,43,40,86,81,7,No comment
E00010,2026-06-30,74.1,68,88,78,51,82,7,Happy with flexibility
E00011,2025-06-30,75.8,78,92,72,55,66,8,Strong team culture
E00011,2026-06-30,61.2,55,46,63,68,77,7,Need more learning opportunities
E00013,2025-06-30,51.9,65,48,41,55,56,7,Good manager support
E00013,2026-06-30,78.8,59,57,89,95,93,5,Happy with flexibility
E00015,2025-06-30,67.3,91,73,55,48,51,2,Happy with flexibility
E00015,2026-06-30,59.9,63,94,47,45,77,9,No comment
E00016,2025-06-30,62.8,48,75,44,68,52,9,Compensation could improve
E00016,2026-06-30,62.2,93,43,79,64,60,6,Good manager support
E00017,2025-06-30,64.5,92,65,58,54,57,0,Need clearer career path
E00017,2026-06-30,58.9,61,60,73,42,64,1,Workload is high
E00018,2026-06-30,67.7,68,71,54,48,87,10,Happy with flexibility
E00020,2025-06-30,69.4,61,65,74,57,86,4,Workload is high
E00020,2026-06-30,69.2,80,64,71,53,80,6,Need clearer career path
E00021,2025-06-30,63.3,62,49,75,88,83,9,Need more learning opportunities
E00021,2026-06-30,83.6,92,61,88,59,96,8,No comment
E00022,2025-06-30,63.2,67,45,45,69,80,5,Happy with flexibility
E00022,2026-06-30,69.5,67,88,56,68,85,7,No comment
E00024,2025-06-30,73.8,70,95,78,61,56,7,Need more learning opportunities
E00024,2026-06-30,68.3,74,79,73,43,87,5,Strong team culture
E00025,2025-06-30,73.3,67,86,87,85,74,6,Need clearer career path
