Employee_ID,Exit_Date,Voluntary_Flag,Primary_Exit_Reason,Exit_Interview_Satisfaction_1_5,Manager_Relationship_1_5,Would_Rejoin,Regrettable_Attrition,Destination
E00005,2024-09-13,No,Contract End,3,5,No,Yes,Competitor
E00012,2020-01-01,Yes,Manager,2,3,Yes,No,Unknown
E00014,2021-09-21,Yes,Manager,5,4,Yes,No,Competitor
E00019,2023-04-12,Yes,Relocation,5,1,No,Yes,Competitor
E00023,2019-10-11,No,Policy Violation,5,5,Yes,No,Unknown
E00026,2025-04-26,Yes,Manager,5,3,No,Yes,Career Break
E00029,2024-04-22,No,Contract End,3,4,Yes,Yes,Higher Education
E00030,2026-07-04,Yes,Relocation,1,5,Yes,No,Career Break
E00039,2024-10-12,Yes,Manager,5,5,Yes,Yes,Career Break
E00042,2026-04-23,Yes,Relocation,4,1,No,Yes,Career Break
E00054,2025-04-22,Yes,Relocation,1,3,Yes,Yes,Higher Education
E00062,2022-10-29,Yes,Career Growth,4,2,Yes,No,Career Break
E00065,2019-11-30,Yes,Work-Life Balance,1,5,No,Yes,Competitor
E00068,2025-05-22,Yes,Relocation,3,1,No,Yes,Career Break
E00073,2018-08-12,Yes,Relocation,2,1,No,No,Competitor
E00082,2024-11-10,No,Policy Violation,3,1,No,Yes,Unknown
E00097,2020-04-29,Yes,Work-Life Balance,4,5,Yes,No,Competitor
E00098,2026-03-03,No,Policy Violation,3,3,Yes,Yes,Startup
E00102,2023-01-23,Yes,Manager,5,2,No,Yes,Startup
E00107,2025-08-28,Yes,Career Growth,1,4,No,Yes,Competitor
E00108,2020-10-07,Yes,Relocation,5,2,No,Yes,Career Break
E00114,2020-10-20,Yes,Work-Life Balance,2,4,Yes,Yes,Unknown
E00115,2022-03-02,Yes,Career Growth,3,5,No,No,Unknown
E00126,2025-02-26,No,Contract End,3,1,Yes,No,Higher Education
E00129,2019-03-09,No,Restructuring,4,1,No,Yes,Higher Education
E00130,2022-12-23,Yes,Relocation,2,3,Yes,Yes,Competitor
E00133,2024-03-18,Yes,Work-Life Balance,3,3,No,No,Career Break
E00141,2023-06-28,Yes,Work-Life Balance,2,1,Yes,Yes,Startup
E00143,2023-02-16,Yes,Manager,2,4,No,Yes,Unknown
E00154,2018-12-29,Yes,Work-Life Balance,2,2,No,Yes,Higher Education
E00158,2025-09-17,No,Performance,5,4,Yes,Yes,Startup
E00161,2024-10-27,Yes,Compensation,1,4,No,No,Higher Education
E00165,2023-12-16,Yes,Work-Life Balance,1,4,Yes,Yes,Competitor
E00166,2017-09-20,No,Performance,4,4,No,No,Higher Education
E00170,2020-01-21,Yes,Manager,4,2,Yes,No,Competitor
E00176,2026-06-22,Yes,Relocation,5,3,Yes,No,Higher Education
E00177,2025-04-08,No,Restructuring,4,3,Yes,No,Startup
E00184,2021-05-18,Yes,Relocation,4,5,No,No,Competitor
E00186,2024-07-02,Yes,Manager,1,4,No,No,Startup
E00207,2026-04-20,No,Restructuring,4,5,Yes,No,Startup
E00211,2023-06-25,Yes,Compensation,2,3,Yes,No,Competitor
E00220,2019-09-09,Yes,Work-Life Balance,1,5,Yes,No,Unknown
E00222,2020-12-30,No,Policy Violation,1,3,Yes,No,Career Break
E00227,2019-12-29,No,Contract End,3,1,No,No,Competitor
E00228,2020-11-28,No,Policy Violation,4,4,No,No,Career Break
E00233,2026-07-25,Yes,Compensation,2,2,No,Yes,Higher Education
E00239,2019-01-27,Yes,Better Opportunity,5,5,No,No,Career Break
E00252,2026-01-08,Yes,Work-Life Balance,4,3,No,No,Unknown
E00258,2025-06-03,Yes,Better Opportunity,3,2,Yes,Yes,Competitor
E00280,2025-01-17,Yes,Compensation,4,5,No,No,Unknown
E00282,2025-08-12,Yes,Career Growth,4,5,Yes,Yes,Startup
E00287,2021-03-29,Yes,Relocation,4,2,Yes,No,Unknown
E00288,2018-04-24,Yes,Compensation,3,4,No,No,Unknown
E00299,2023-11-06,Yes,Work-Life Balance,3,2,No,No,Career Break
E00302,2022-05-06,Yes,Career Growth,1,2,No,Yes,Career Break
E00324,2024-10-01,Yes,Manager,2,1,Yes,Yes,Startup
E00328,2024-10-13,Yes,Relocation,4,2,No,Yes,Higher Education
E00331,2026-05-11,Yes,Career Growth,3,3,No,Yes,Competitor
E00332,2025-06-16,No,Policy Violation,5,5,Yes,Yes,Unknown
E00336,2026-02-23,Yes,Relocation,5,3,Yes,No,Competitor
E00337,2025-06-14,No,Restructuring,2,3,Yes,Yes,Career Break
E00342,2023-01-16,Yes,Compensation,1,2,Yes,No,Career Break
E00344,2020-07-11,Yes,Career Growth,5,5,Yes,Yes,Startup
E00355,2024-02-27,Yes,Relocation,3,5,No,No,Competitor
E00361,2026-04-19,Yes,Better Opportunity,2,3,Yes,No,Unknown
E00363,2026-08-22,No,Restructuring,3,4,No,Yes,Higher Education
E00379,2020-03-04,Yes,Career Growth,4,5,Yes,No,Startup
E00383,2022-11-30,Yes,Better Opportunity,2,3,No,No,Competitor
E00384,2025-12-26,Yes,Compensation,2,5,Yes,No,Startup
E00390,2025-08-18,Yes,Better Opportunity,5,4,No,No,Career Break
E00403,2020-01-22,Yes,Better Opportunity,2,4,No,Yes,Startup
E00429,2025-05-06,Yes,Career Growth,3,4,No,Yes,Unknown
E00433,2024-04-15,Yes,Relocation,3,3,No,Yes,Competitor
E00440,2026-08-24,No,Contract End,1,5,No,No,Higher Education
E00447,2025-11-11,Yes,Relocation,1,3,No,No,Competitor
E00449,2022-05-12,Yes,Work-Life Balance,1,3,Yes,Yes,Competitor
E00450,2025-12-22,No,Policy Violation,2,5,Yes,No,Unknown
E00456,2022-06-16,Yes,Compensation,4,1,No,Yes,Career Break
E00464,2025-08-31,No,Restructuring,1,1,No,Yes,Competitor
E00466,2022-03-13,Yes,Relocation,4,3,No,No,Unknown
E00467,2025-07-20,Yes,Relocation,3,1,Yes,No,Competitor
E00472,2026-01-29,Yes,Work-Life Balance,3,2,Yes,Yes,Unknown
E00473,2025-03-04,Yes,Better Opportunity,1,5,No,Yes,Unknown
E00475,2020-04-27,Yes,Better Opportunity,1,5,Yes,Yes,Career Break
E00477,2023-11-18,Yes,Compensation,3,1,Yes,No,Unknown
E00481,2025-04-08,Yes,Relocation,2,4,Yes,No,Competitor
E00489,2019-05-12,Yes,Career Growth,1,5,Yes,Yes,Competitor
E00494,2020-03-04,Yes,Manager,3,5,Yes,Yes,Higher Education
E00498,2022-05-20,Yes,Career Growth,5,4,No,Yes,Higher Education
E00509,2025-07-07,Yes,Manager,5,5,Yes,No,Career Break
E00510,2025-02-07,Yes,Work-Life Balance,4,2,Yes,No,Higher Education
E00534,2021-09-17,Yes,Work-Life Balance,3,3,No,No,Unknown
E00538,2025-03-11,Yes,Manager,1,1,Yes,No,Higher Education
E00546,2023-08-04,Yes,Manager,4,2,Yes,Yes,Higher Education
E00547,2019-11-01,No,Performance,3,5,No,No,Unknown
E00548,2022-02-01,Yes,Compensation,5,4,No,No,Competitor
E00552,2023-12-06,Yes,Career Growth,2,5,Yes,No,Startup
E00555,2026-01-02,Yes,Work-Life Balance,2,5,No,No,Competitor
E00567,2024-11-20,Yes,Manager,3,1,No,No,Unknown
E00575,2025-07-06,Yes,Better Opportunity,1,2,No,Yes,Career Break
E00578,2026-04-27,Yes,Better Opportunity,1,1,Yes,Yes,Competitor
E00581,2026-05-23,Yes,Relocation,2,5,Yes,Yes,Competitor
E00615,2026-08-17,Yes,Compensation,5,2,No,Yes,Higher Education
E00620,2020-12-07,No,Policy Violation,3,4,No,No,Competitor
E00621,2026-02-14,No,Contract End,5,4,No,No,Competitor
E00632,2019-11-30,Yes,Better Opportunity,5,1,No,Yes,Career Break
E00634,2020-01-16,Yes,Career Growth,4,1,No,Yes,Career Break
E00642,2023-10-19,Yes,Manager,3,5,Yes,Yes,Startup
E00648,2026-08-12,Yes,Career Growth,5,4,Yes,No,Unknown
E00665,2023-07-12,No,Policy Violation,4,2,No,Yes,Higher Education
E00672,2023-10-06,Yes,Manager,4,3,Yes,Yes,Startup
E00697,2026-06-13,No,Restructuring,1,1,Yes,Yes,Career Break
E00699,2025-12-11,Yes,Career Growth,4,2,Yes,Yes,Startup
E00707,2025-12-10,Yes,Work-Life Balance,1,4,Yes,No,Startup
E00708,2023-10-24,Yes,Work-Life Balance,2,2,Yes,No,Competitor
