Dataset,Column,Data_Type,Description
01_Employee_Master.csv,Employee_ID,object,Field in 01_Employee_Master
01_Employee_Master.csv,Employee_Name,object,Field in 01_Employee_Master
01_Employee_Master.csv,Gender,object,Field in 01_Employee_Master
01_Employee_Master.csv,Date_of_Birth,datetime64[ns],Field in 01_Employee_Master
01_Employee_Master.csv,Location,object,Field in 01_Employee_Master
01_Employee_Master.csv,Department,object,Field in 01_Employee_Master
01_Employee_Master.csv,Cost_Center,object,Field in 01_Employee_Master
01_Employee_Master.csv,Job_Title,object,Field in 01_Employee_Master
01_Employee_Master.csv,Grade,object,Field in 01_Employee_Master
01_Employee_Master.csv,Employment_Type,object,Field in 01_Employee_Master
01_Employee_Master.csv,Work_Mode,object,Field in 01_Employee_Master
01_Employee_Master.csv,Hire_Date,datetime64[ns],Field in 01_Employee_Master
01_Employee_Master.csv,Exit_Date,datetime64[ns],Field in 01_Employee_Master
01_Employee_Master.csv,Employment_Status,object,Field in 01_Employee_Master
01_Employee_Master.csv,Manager_ID,object,Field in 01_Employee_Master
01_Employee_Master.csv,FTE,float64,Field in 01_Employee_Master
01_Employee_Master.csv,Education,object,Field in 01_Employee_Master
01_Employee_Master.csv,Prior_Experience_Years,int64,Field in 01_Employee_Master
01_Employee_Master.csv,Recruitment_Source,object,Field in 01_Employee_Master
01_Employee_Master.csv,Critical_Role,object,Field in 01_Employee_Master
02_Recruitment.csv,Application_ID,object,Field in 02_Recruitment
02_Recruitment.csv,Employee_ID,object,Field in 02_Recruitment
02_Recruitment.csv,Department,object,Field in 02_Recruitment
02_Recruitment.csv,Role,object,Field in 02_Recruitment
02_Recruitment.csv,Source,object,Field in 02_Recruitment
02_Recruitment.csv,Application_Date,datetime64[ns],Field in 02_Recruitment
02_Recruitment.csv,Interview_Date,datetime64[ns],Field in 02_Recruitment
02_Recruitment.csv,Offer_Date,datetime64[ns],Field in 02_Recruitment
02_Recruitment.csv,Joining_Date,datetime64[ns],Field in 02_Recruitment
02_Recruitment.csv,Interview_Score,int64,Field in 02_Recruitment
02_Recruitment.csv,Assessment_Score,int64,Field in 02_Recruitment
02_Recruitment.csv,Offer_Accepted,object,Field in 02_Recruitment
02_Recruitment.csv,Joined,object,Field in 02_Recruitment
02_Recruitment.csv,Recruitment_Cost_INR,int64,Field in 02_Recruitment
02_Recruitment.csv,Recruiter,object,Field in 02_Recruitment
03_Attendance.csv,Month,datetime64[ns],Field in 03_Attendance
03_Attendance.csv,Employee_ID,object,Field in 03_Attendance
03_Attendance.csv,Department,object,Field in 03_Attendance
03_Attendance.csv,Location,object,Field in 03_Attendance
03_Attendance.csv,Scheduled_Days,int64,Field in 03_Attendance
03_Attendance.csv,Present_Days,int64,Field in 03_Attendance
03_Attendance.csv,Paid_Leave_Days,int64,Field in 03_Attendance
03_Attendance.csv,Sick_Leave_Days,int64,Field in 03_Attendance
03_Attendance.csv,Unpaid_Leave_Days,int64,Field in 03_Attendance
03_Attendance.csv,Absent_Days,int64,Field in 03_Attendance
03_Attendance.csv,WFH_Days,int64,Field in 03_Attendance
03_Attendance.csv,Overtime_Hours,float64,Field in 03_Attendance
03_Attendance.csv,Late_Arrivals,int64,Field in 03_Attendance
04_Compensation.csv,Employee_ID,object,Field in 04_Compensation
04_Compensation.csv,Effective_Date,datetime64[ns],Field in 04_Compensation
04_Compensation.csv,Grade,object,Field in 04_Compensation
04_Compensation.csv,Base_Salary_INR,float64,Field in 04_Compensation
04_Compensation.csv,Variable_Pay_INR,float64,Field in 04_Compensation
04_Compensation.csv,Total_Compensation_INR,float64,Field in 04_Compensation
04_Compensation.csv,Compa_Ratio,float64,Field in 04_Compensation
04_Compensation.csv,Change_Reason,object,Field in 04_Compensation
05_Performance.csv,Employee_ID,object,Field in 05_Performance
05_Performance.csv,Review_Year,int64,Field in 05_Performance
05_Performance.csv,Performance_Rating,float64,Field in 05_Performance
05_Performance.csv,Goal_Achievement_Pct,float64,Field in 05_Performance
05_Performance.csv,Manager_Rating,float64,Field in 05_Performance
05_Performance.csv,Potential_Rating,object,Field in 05_Performance
05_Performance.csv,Performance_Band,object,Field in 05_Performance
05_Performance.csv,Succession_Readiness,object,Field in 05_Performance
06_Training.csv,Training_ID,object,Field in 06_Training
06_Training.csv,Employee_ID,object,Field in 06_Training
06_Training.csv,Course_Name,object,Field in 06_Training
06_Training.csv,Training_Date,datetime64[ns],Field in 06_Training
06_Training.csv,Training_Hours,int64,Field in 06_Training
06_Training.csv,Delivery_Mode,object,Field in 06_Training
06_Training.csv,Completion_Status,object,Field in 06_Training
06_Training.csv,Pre_Assessment_Score,int64,Field in 06_Training
06_Training.csv,Post_Assessment_Score,int64,Field in 06_Training
06_Training.csv,Training_Cost_INR,int64,Field in 06_Training
07_Engagement.csv,Employee_ID,object,Field in 07_Engagement
07_Engagement.csv,Survey_Date,datetime64[ns],Field in 07_Engagement
07_Engagement.csv,Engagement_Score,float64,Field in 07_Engagement
07_Engagement.csv,Manager_Support_Score,int64,Field in 07_Engagement
07_Engagement.csv,Career_Growth_Score,int64,Field in 07_Engagement
07_Engagement.csv,Rewards_Score,int64,Field in 07_Engagement
07_Engagement.csv,Wellbeing_Score,int64,Field in 07_Engagement
07_Engagement.csv,Belonging_Score,int64,Field in 07_Engagement
07_Engagement.csv,eNPS_0_10,int64,Field in 07_Engagement
07_Engagement.csv,Anonymous_Comment,object,Field in 07_Engagement
08_Exit.csv,Employee_ID,object,Field in 08_Exit
08_Exit.csv,Exit_Date,datetime64[ns],Field in 08_Exit
08_Exit.csv,Voluntary_Flag,object,Field in 08_Exit
08_Exit.csv,Primary_Exit_Reason,object,Field in 08_Exit
08_Exit.csv,Exit_Interview_Satisfaction_1_5,int64,Field in 08_Exit
08_Exit.csv,Manager_Relationship_1_5,int64,Field in 08_Exit
08_Exit.csv,Would_Rejoin,object,Field in 08_Exit
08_Exit.csv,Regrettable_Attrition,object,Field in 08_Exit
08_Exit.csv,Destination,object,Field in 08_Exit
